"id","en","ru","de","fr","es","hi"
"APPLY","Apply","Применить","Anwenden","Appliquer","Aplicar","लागू"
"ARE_YOU_SURE","Are you sure?","Вы уверены?","Sind Sie sicher?","Etes-vous sûr ?","¿Esta seguro?","क्या यह आपका अंतिम निर्णय है?"
"CANCEL","Cancel","Отмена","Abbrechen","Annuler","Cancelar","रद्द"
"DELETE","Delete","Удалить","Löschen","Supprimer","Borrar","मिटाओ"
"DESC_AUTHOR","Author:","Автор:","Autor:","Auteur :","Autor:","निर्माता"
"DESC_AUTHOR_EMAIL","Author email:","Почта автора:","Autor E-Mail:","Courriel de l'auteur :","Correo electrónico del Autor:","निर्माता ईमेल :"
"DESC_DESCRIPTION","Description:","Описание:","Beschreibung:","Description :","Descripción:","वर्णन :"
"FINISHED_ENTER_YOUR_NAME","Enter your name:","Введите своё имя:","Geben Sie Ihren Namen ein:","Entrer votre nom :","Introduce tu nombre:","अपना नाम लिखिए :"
"FINISHED_ONLINE_MSG_NONE",,,,,,
"FINISHED_ONLINE_MSG_READY","Your game has been successfully submitted.","Ваша игра была успешно добавлена в сетевой рейтинг.","Bitte warten Sie, bis der Server das Spiel geprüft hat.",,,"आपका खेल सफलता पूर्वक ऑनलाइन रेट कर दिया गया है | "
"FINISHED_ONLINE_MSG_WAITING","Please, wait while the server validates your game.","Пожалуйста, подождите, пока сервер подтверждает вашу игру.","Ihr spiel wurde erfolgreich übertragen.",,,"कृपया सर्वर द्वारा आपके खेल प्रमाणित होने का इंतज़ार कीजिये |"
"FINISHED_TITLE_VICTORY","Victory","Победа","Sieg","Victoire","Victoria","जीत"
"FINISHED_TITLE_LOSS","Loss","Поражение","Niederlage","Perdu","Derrota","हार"
"GAME_CANNOT_LOAD_LAST_LAYOUT","The layout you've played last time can no longer be found. Another one was used instead.","Раскладка, в которую вы играли в предыдущий раз, не найдена. Другая была использована взамен.","Das beim letzten Mal verwendete Layout kann nicht mehr gefunden werden. Stattdessen wurde ein anderes benutzt.","La disposition jouée la dernière fois est introuvable. Une autre a été utilisée à  la place.","La capa con la que has jugado la última vez no ha sido encontrada. Otra se utilizó una vez.","जो खाका आपने पिछली बार खेला था वह उपलभ्द नहीं है कृपया कोई और चुने"
"GAME_CANNOT_LOAD_LAST_LAYOUT_SAVE","The layout is no longer available. The save file cannot be used.","Раскладка не найдена. Файл сохранения не может быть использован.","Das Layout ist nicht länger verfügbar. Die gespeicherte Datei kann nicht verwendet werden.","La disposition n'est plus disponible. Le jeu sauvegardé ne peut être utilisé.","La capa no esta esta disponible. El fichero salvado no puede ser usado.","खाका अब उपलभ्द नहीं है | save file प्रयोग नहीं करी जा सकती|"
"GAME_CHANGE_INTERRUPTS","This change will interrupt current game","Это изменение прервёт текущую игру","Diese Änderung wird das laufende Spiel unterbrechen","Ce changement interrompra le jeu en cours","Este cambio interrumpirá la partida actual","ये बदलाव खेल को बीच में रोक देगा |"
"GAME_DIFFICULTY_ALL","All difficulties","Все уровни","Alle Schwierigkeitsstufen","Toutes les difficultés","Todas las dificultades","सारी कठिनाईया"
"GAME_DIFFICULTY_CLASSIC","Classic","Классика","Klassisch","Classique","Clásico","पारंपरिक"
"GAME_DIFFICULTY_EASY","Easy","Легко","Leicht","Facile","Fácil","आसन"
"GAME_DIFFICULTY_MEDIUM","Medium","Средне","Mittel","Moyenne","Media","हल्की कठनाई"
"GAME_ELAPSED_TIME","Elapsed time","Прошедшее время","Vergangene Zeit","Temps écoulé","Tiempo transcurrido","बीता समय"
"GAME_GAME_TYPE_AND_LAYOUT","Game type and layout","Тип игры и раскладка","Spieltyp und Layout","Type de jeu et disposition","Tipo de juego y capa","खेल का प्रकार और खाका"
"GAME_HAS_BEEN_SAVED_AS","The game has been saved as: '%s'","Игра была сохранена как: '%s'","Das Spiel wurde gesichert als: '%s'","Le jeu a été enregistré sous : '%s'","La partida ha sido grabada como: %s'","खेल को संचित कर दिया गया है : “ %s” "
"GAME_HINT","Hint","Подсказка","Hinweise","Suggestion","Hint","सुझाव"
"GAME_INFO","Info","Информация","Info","Informations","Información","सूचना"
"GAME_LOAD","Load","Загрузить","Laden","Charger","Cargar","पुरानाखेल "
