"id","en","ru","de","fr"
"APPLY","Apply","Применить","Anwenden","Appliquer"
"ARE_YOU_SURE","Are you sure?","Вы уверены?","Sind Sie sicher?","Etes-vous sûr ?"
"CANCEL","Cancel","Отмена","Abbrechen","Annuler"
"DELETE","Delete","Удалить","Löschen","Supprimer"
"DESC_AUTHOR","Author:","Автор:","Autor:","Auteur :"
"DESC_AUTHOR_EMAIL","Author email:","Почта автора:","Autor E-Mail:","Courriel de l'auteur :"
"DESC_DESCRIPTION","Description:","Описание:","Beschreibung:","Description :"
"FINISHED_ENTER_YOUR_NAME","Enter your name:","Введите своё имя:","Geben Sie Ihren Namen ein:","Entrer votre nom :"
"GAME_CANNOT_LOAD_LAST_LAYOUT","The layout you've played last time can no longer be found. Another one was used instead.","Раскладка, в которую вы играли в предыдущий раз, не найдена. Другая была использована взамен.","Das beim letzten Mal verwendete Layout kann nicht mehr gefunden werden. Stattdessen wurde ein anderes benutzt.","La disposition jouée la dernière fois est introuvable. Une autre a été utilisée à  la place."
"GAME_CANNOT_LOAD_LAST_LAYOUT_SAVE","The layout is no longer available. The save file cannot be used.","Раскладка не найдена. Файл сохранения не может быть использован.","Das Layout ist nicht länger verfügbar. Die gespeicherte Datei kann nicht verwendet werden.","La disposition n'est plus disponible. Le jeu sauvegardé ne peut être utilisé."
"GAME_CHANGE_INTERRUPTS","This change will interrupt current game","Это изменение прервёт текущую игру","Diese Änderung wird das laufende Spiel unterbrechen","Ce changement interrompra le jeu en cours"
"GAME_DIFFICULTY_EASY","Easy","Легко","Leicht","Facile"
"GAME_DIFFICULTY_MEDIUM","Medium","Средне","Mittel","Moyenne"
"GAME_DIFFICULTY_CLASSIC","Classic","Классика","Klassisch","Classique"
"GAME_ELAPSED_TIME","Elapsed time","Прошедшее время","Vergangene Zeit","Temps écoulé"
"GAME_GAME_TYPE_AND_LAYOUT","Game type and layout","Тип игры и раскладка","Spieltyp und Layout","Type de jeu et disposition"
"GAME_HINT","Hint","Подсказка","Hinweise","Suggestion"
"GAME_INFO","Info","Информация","Info","Informations"
"GAME_HAS_BEEN_SAVED_AS","The game has been saved as: '%s'","Игра была сохранена как: '%s'","Das Spiel wurde gesichert als: '%s'","Le jeu a été enregistré sous : '%s'"
"GAME_LOAD","Load","Загрузить","Laden","Charger"
